times,iri,euvac
2015-03-11 15:50:00,0.16,0.14
2015-03-11 15:51:00,0.16,0.14
2015-03-11 15:52:00,0.17,0.13
2015-03-11 15:53:00,0.17,0.13
2015-03-11 15:54:00,0.17,0.13
2015-03-11 15:55:00,0.17,0.13
2015-03-11 15:56:00,0.17,0.13
2015-03-11 15:57:00,0.17,0.14
2015-03-11 15:58:00,0.17,0.13
2015-03-11 15:59:00,0.17,0.13
2015-03-11 16:00:00,0.17,0.13
2015-03-11 16:01:00,0.17,0.13
2015-03-11 16:02:00,0.17,0.13
2015-03-11 16:03:00,0.17,0.13
2015-03-11 16:04:00,0.17,0.14
2015-03-11 16:05:00,0.17,0.14
2015-03-11 16:06:00,0.17,0.13
2015-03-11 16:07:00,0.17,0.13
2015-03-11 16:08:00,0.17,0.13
2015-03-11 16:09:00,0.17,0.13
2015-03-11 16:10:00,0.17,0.14
2015-03-11 16:11:00,0.17,0.14
2015-03-11 16:12:00,0.17,0.14
2015-03-11 16:13:00,0.17,0.15
2015-03-11 16:14:00,0.17,0.19
2015-03-11 16:15:00,0.17,0.29
2015-03-11 16:16:00,0.17,1.08
2015-03-11 16:17:00,0.17,1.87
2015-03-11 16:18:00,0.17,2.28
2015-03-11 16:19:00,0.17,2.54
2015-03-11 16:20:00,0.17,2.67
2015-03-11 16:21:00,0.17,2.69
2015-03-11 16:22:00,0.17,2.67
2015-03-11 16:23:00,0.17,2.61
2015-03-11 16:24:00,0.17,2.52
2015-03-11 16:25:00,0.17,2.41
2015-03-11 16:26:00,0.17,2.29
2015-03-11 16:27:00,0.17,2.19
2015-03-11 16:28:00,0.17,2.1
2015-03-11 16:29:00,0.18,2.01
2015-03-11 16:30:00,0.18,1.92
2015-03-11 16:31:00,0.18,1.82
2015-03-11 16:32:00,0.18,1.72
2015-03-11 16:33:00,0.18,1.63
2015-03-11 16:34:00,0.18,1.54
2015-03-11 16:35:00,0.18,1.47
2015-03-11 16:36:00,0.18,1.4
2015-03-11 16:37:00,0.18,1.33
2015-03-11 16:38:00,0.18,1.27
2015-03-11 16:39:00,0.18,1.21
2015-03-11 16:40:00,0.18,1.15
2015-03-11 16:41:00,0.18,1.1
2015-03-11 16:42:00,0.18,1.04
2015-03-11 16:43:00,0.18,0.99
2015-03-11 16:44:00,0.18,0.94
2015-03-11 16:45:00,0.18,0.89
2015-03-11 16:46:00,0.18,0.85
2015-03-11 16:47:00,0.18,0.81
2015-03-11 16:48:00,0.18,0.78
2015-03-11 16:49:00,0.18,0.74
2015-03-11 16:50:00,0.18,0.71
2015-03-11 16:51:00,0.18,0.68
2015-03-11 16:52:00,0.18,0.64
2015-03-11 16:53:00,0.18,0.61
2015-03-11 16:54:00,0.18,0.59
2015-03-11 16:55:00,0.18,0.57
2015-03-11 16:56:00,0.18,0.54
2015-03-11 16:57:00,0.18,0.51
2015-03-11 16:58:00,0.18,0.48
2015-03-11 16:59:00,0.18,0.46
2015-03-11 17:00:00,0.18,0.44
2015-03-11 17:01:00,0.18,0.42
2015-03-11 17:02:00,0.18,0.4
2015-03-11 17:03:00,0.18,0.4
2015-03-11 17:04:00,0.18,0.39
2015-03-11 17:05:00,0.18,0.38
2015-03-11 17:06:00,0.18,0.37
2015-03-11 17:07:00,0.18,0.37
2015-03-11 17:08:00,0.18,0.36
2015-03-11 17:09:00,0.18,0.34
2015-03-11 17:10:00,0.18,0.33
2015-03-11 17:11:00,0.18,0.31
2015-03-11 17:12:00,0.18,0.3
2015-03-11 17:13:00,0.18,0.29
2015-03-11 17:14:00,0.18,0.28
2015-03-11 17:15:00,0.18,0.27
2015-03-11 17:16:00,0.18,0.26
2015-03-11 17:17:00,0.18,0.25
2015-03-11 17:18:00,0.18,0.24
2015-03-11 17:19:00,0.18,0.23
